run_accession	fastq_ftp	sample_alias	secondary_sample_accession	experiment_alias
SRR5305552	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305552/SRR5305552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305552/SRR5305552_2.fastq.gz	GSM2516881	SRS2018253	GSM2516881
SRR5305555	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305555/SRR5305555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305555/SRR5305555_2.fastq.gz	GSM2516884	SRS2018250	GSM2516884
SRR5305556	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305556/SRR5305556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305556/SRR5305556_2.fastq.gz	GSM2516885	SRS2018254	GSM2516885
SRR5305561	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305561/SRR5305561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305561/SRR5305561_2.fastq.gz	GSM2516890	SRS2018256	GSM2516890
SRR5305563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305563/SRR5305563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305563/SRR5305563_2.fastq.gz	GSM2516892	SRS2018258	GSM2516892
SRR5305564	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305564/SRR5305564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305564/SRR5305564_2.fastq.gz	GSM2516893	SRS2018265	GSM2516893
SRR5305569	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305569/SRR5305569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305569/SRR5305569_2.fastq.gz	GSM2516898	SRS2018266	GSM2516898
SRR5305574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305574/SRR5305574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305574/SRR5305574_2.fastq.gz	GSM2516903	SRS2018270	GSM2516903
SRR5305581	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305581/SRR5305581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305581/SRR5305581_2.fastq.gz	GSM2516910	SRS2018275	GSM2516910
SRR5305583	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305583/SRR5305583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305583/SRR5305583_2.fastq.gz	GSM2516912	SRS2018279	GSM2516912
